Symbol,Year,Month,Week,Day,Hour,Minute,Open,High,Low,Close,Volume
EURJPY,2017,4,2,4,18,0,117.861,118.093,117.815,118.060,7265.000,
EURJPY,2017,4,2,4,17,30,117.836,117.898,117.687,117.859,6813.000,
EURJPY,2017,4,2,4,17,0,117.810,117.870,117.697,117.837,6721.000,
EURJPY,2017,4,2,4,16,30,117.909,117.956,117.776,117.810,7539.000,
EURJPY,2017,4,2,4,16,0,117.744,117.925,117.697,117.908,5859.000,
EURJPY,2017,4,2,4,15,30,117.617,117.753,117.576,117.745,5486.000,
EURJPY,2017,4,2,4,15,0,117.429,117.652,117.424,117.617,5625.000,
EURJPY,2017,4,2,4,14,30,117.524,117.559,117.422,117.427,5136.000,
EURJPY,2017,4,2,4,14,0,117.551,117.638,117.496,117.527,4297.000,
EURJPY,2017,4,2,4,13,30,117.652,117.676,117.468,117.552,4260.000,
EURJPY,2017,4,2,4,13,0,117.725,117.744,117.645,117.653,3215.000,
EURJPY,2017,4,2,4,12,30,117.661,117.755,117.619,117.726,3756.000,
EURJPY,2017,4,2,4,12,0,117.811,117.865,117.627,117.661,3958.000,
EURJPY,2017,4,2,4,11,30,117.730,117.829,117.702,117.810,3633.000,
EURJPY,2017,4,2,4,11,0,117.655,117.753,117.609,117.731,4083.000,
EURJPY,2017,4,2,4,10,30,117.822,117.825,117.600,117.654,4480.000,
EURJPY,2017,4,2,4,10,0,117.666,117.838,117.663,117.824,5400.000,
EURJPY,2017,4,2,4,9,30,117.756,117.768,117.567,117.664,4595.000,
EURJPY,2017,4,2,4,9,0,117.877,117.887,117.736,117.756,4631.000,
EURJPY,2017,4,2,4,8,30,117.845,117.943,117.814,117.877,4132.000,
EURJPY,2017,4,2,4,8,0,117.869,117.915,117.843,117.846,3738.000,
EURJPY,2017,4,2,4,7,30,117.894,117.908,117.734,117.869,4442.000,
EURJPY,2017,4,2,4,7,0,117.956,117.956,117.806,117.893,3750.000,
EURJPY,2017,4,2,4,6,30,117.952,117.962,117.858,117.953,3055.000,
EURJPY,2017,4,2,4,6,0,118.008,118.011,117.911,117.954,2003.000,
EURJPY,2017,4,2,4,5,30,118.066,118.081,117.999,118.009,1990.000,
EURJPY,2017,4,2,4,5,0,118.101,118.127,118.026,118.065,3023.000,
EURJPY,2017,4,2,4,4,30,117.992,118.116,117.989,118.104,3148.000,
EURJPY,2017,4,2,4,4,0,118.035,118.053,117.838,117.991,4322.000,
EURJPY,2017,4,2,4,3,30,118.068,118.195,117.980,118.036,3827.000,
EURJPY,2017,4,2,4,3,0,118.091,118.121,117.996,118.068,3733.000,
EURJPY,2017,4,2,4,2,30,118.081,118.160,118.070,118.089,1974.000,
EURJPY,2017,4,2,4,2,0,118.256,118.261,118.081,118.082,1809.000,
EURJPY,2017,4,2,4,1,30,118.243,118.271,118.227,118.257,1290.000,
EURJPY,2017,4,2,4,1,0,118.246,118.301,118.226,118.242,1538.000,
EURJPY,2017,4,2,4,0,30,118.325,118.333,118.242,118.245,429.000,
EURJPY,2017,4,2,4,0,0,118.315,118.360,118.297,118.322,397.000,
EURJPY,2017,4,1,3,23,30,118.363,118.386,118.300,118.300,2207.000,
EURJPY,2017,4,1,3,23,0,118.306,118.384,118.298,118.363,2031.000,
EURJPY,2017,4,1,3,22,30,118.379,118.380,118.302,118.310,3437.000,
EURJPY,2017,4,1,3,22,0,118.335,118.407,118.264,118.380,3813.000,
EURJPY,2017,4,1,3,21,30,118.328,118.405,118.311,118.336,3718.000,
EURJPY,2017,4,1,3,21,0,118.382,118.403,118.279,118.328,3596.000,
EURJPY,2017,4,1,3,20,30,118.439,118.439,118.335,118.380,3281.000,
EURJPY,2017,4,1,3,20,0,118.349,118.489,118.335,118.439,2613.000,
EURJPY,2017,4,1,3,19,30,118.353,118.410,118.318,118.350,3056.000,
EURJPY,2017,4,1,3,19,0,118.235,118.368,118.193,118.353,4074.000,
EURJPY,2017,4,1,3,18,30,118.295,118.313,118.167,118.235,5078.000,
EURJPY,2017,4,1,3,18,0,118.250,118.307,118.123,118.295,7745.000,
